video_id,frame_name,frame_index,manual_class_label,manual_present,predicted_present,outcome,num_predictions_on_frame,num_target_predictions,predicted_classes,target_track_ids,target_confidences,manual_notes
839878,frame_010800.jpg,10800,hairdryer,1,0,missed_detection,2,0,toothbrush;person,,,target object visible in repair frame
839878,frame_011550.jpg,11550,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_012120.jpg,12120,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_012750.jpg,12750,hairdryer,1,0,missed_detection,2,0,carrot;person,,,target object visible in repair frame
839878,frame_013320.jpg,13320,hairdryer,1,0,missed_detection,3,0,toothbrush;bottle;person,,,target object visible in repair frame
839878,frame_013950.jpg,13950,hairdryer,1,0,missed_detection,2,0,toothbrush;person,,,target object visible in repair frame
839878,frame_014460.jpg,14460,hairdryer,1,0,missed_detection,2,0,toothbrush;person,,,target object visible in repair frame
839878,frame_014970.jpg,14970,hairdryer,1,0,missed_detection,2,0,toothbrush;person,,,target object visible in repair frame
839878,frame_015480.jpg,15480,hairdryer,1,0,missed_detection,3,0,toothbrush;spoon;toothbrush,,,target object visible in repair frame
839878,frame_015990.jpg,15990,hairdryer,1,0,missed_detection,1,0,spoon,,,target object visible in repair frame
839878,frame_016770.jpg,16770,hairdryer,1,0,missed_detection,1,0,sports ball,,,target object visible in repair frame
839878,frame_017520.jpg,17520,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
839878,frame_018210.jpg,18210,hairdryer,1,0,missed_detection,1,0,sports ball,,,target object visible in repair frame
839878,frame_018990.jpg,18990,hairdryer,1,0,missed_detection,1,0,person,,,target object visible in repair frame
